Title,Authors,Price,Stars,Number of Reviews,Published Date,Country
Econometrics with Machine Learning: 53  ,[],267.(AU Dollars),,,8 September 2022,Australia
The Machine Learning Simplified: A Gentle Introduction to Supervised Learning  ,[],8.(AU Dollars),,,22 May 2022,Australia
Cambridge Bayesian Reasoning and Machine Learning Book - Hardback - 02 February 2012  ,[],98.(AU Dollars),,,2 February 2012,Australia
Machine Learning: Architecture in the age of Artificial Intelligence  ,[],62.(AU Dollars),,,30 April 2022,Australia
"Machine Learning for Beginners: A Comprehensive Guide to Mastering Algorithms, Data Science, and Artificial Intelligence  ",[],0.(AU Dollars),,,5 July 2023,Australia
"Python for Data Visualization for Beginners: Visualize Your Data using Pandas, Matplotlib and Seaborn, Step-by-Step Guide with Hands-on Projects and Exercises ... Learning & Data Science for Beginners)  ",[],11.(AU Dollars),,,12 February 2020,Australia
"Machine Learning Mastery: From A to Z with Code : ""A to Z Machine Learning with Code: From Fundamentals to Advanced Concepts – A Hands-On Guide for Building Intelligent Systems""  ",[],5.(AU Dollars),,,16 October 2023,Australia
Machine Learning: The Art and Science of Algorithms that Make Sense of Data  ,[],69.(AU Dollars),,,20 September 2012,Australia
Transformers for Machine Learning: A Deep Dive  ,[],80.(AU Dollars),,,25 May 2022,Australia
"Machine Learning for Time-Series with Python: Forecast, predict, and detect anomalies with state-of-the-art machine learning methods  ",[],54.(AU Dollars),,,9 November 2021,Australia
The Kaggle Book: Data analysis and machine learning for competitive data science  ,[],101.(AU Dollars),,,22 April 2022,Australia
"Machine Learning For Beginners: A Comprehensive Beginners Guide To Machine Learning, No Experience Required!  ",[],0.(AU Dollars),,,8 September 2018,Australia
"Scaling Machine Learning with Spark: Distributed ML with Mllib, Tensorflow, and Pytorch  ",[],126.(AU Dollars),,,31 March 2023,Australia
Machine Learning in R for Everyone  ,[],0.(AU Dollars),,,10 September 2023,Australia
Machine Learning with Python Cookbook: Practical Solutions from Preprocessing to Deep Learning  ,[],,,,30 April 2018,Australia
Metalearning: Applications to Automated Machine Learning and Data Mining (Cognitive Technologies)  ,[],0.(AU Dollars),,,22 February 2022,Australia
Machine Learning with PySpark: With Natural Language Processing and Recommender Systems  ,[],73.(AU Dollars),,,15 December 2018,Australia
MACHINE LEARNING AND JAVA CODING MADE SIMPLE: A BEGINNER’S GUIDE TO PROGRAMMING - 2 BOOKS IN 1  ,[],0.(AU Dollars),,,8 October 2023,Australia
"Machine Learning Concepts from A to Z: A Comprehensive Guide with Code: Machine Learning Mastery: From A to Z with Code - Practical Examples, Algorithms, and Applications  ",[],0.(AU Dollars),,,16 October 2023,Australia
Machine Learning for Beginners: Learn to Build Machine Learning Systems Using Python (English Edition)  ,[],63.(AU Dollars),,,21 August 2020,Australia
Machine Learning - Regression and Classification (math Inc.): A complete Beginner to Advance level guide to Machine Learning. Hands-on Learning approach with in-depth math concepts  ,[],0.(AU Dollars),,,26 September 2023,Australia
"Advanced Probabilistic Graphical Models in Machine Learning: A Comprehensive Treatise on Bayesian Networks, Markov Chains, and Beyond  ",[],0.(AU Dollars),,,5 April 2023,Australia
"Python Machine Learning for Beginners: Learning from Scratch Numpy, Pandas, Matplotlib, Seaborn, SKlearn and TensorFlow 2.0 for Machine Learning & Deep ... Learning & Data Science for Beginners)  ",[],11.(AU Dollars),,,24 October 2020,Australia
"Hands-On Machine Learning with C++: Build, train, and deploy end-to-end machine learning and deep learning pipelines  ",[],96.(AU Dollars),,,15 May 2020,Australia
TensorFlow 2 Pocket Reference: Building and Deploying Machine Learning Models  ,[],31.(AU Dollars),,,3 August 2021,Australia
Building Machine Learning Powered Applications: Going from Idea to Product  ,[],65.(AU Dollars),,,31 January 2020,Australia
Python Machine Learning: The Ultimate Intermediate Guide to Learn Python Machine Learning Step by Step using Scikit-Learn and Tensorflow (Computer Programming)  ,[],0.(AU Dollars),,,19 March 2022,Australia
Machine Learning for Asset Managers  ,[],21.(AU Dollars),,,30 April 2020,Australia
"Machine Learning for Multimodal Healthcare Data: First International Workshop, ML4MHD 2023, Honolulu, Hawaii, USA, July 29, 2023, Proceedings (Lecture Notes in Computer Science Book 14315)  ",[],75.(AU Dollars),,,17 December 2023,Australia
Introducing MLOps: How to Scale Machine Learning in the Enterprise  ,[],84.(AU Dollars),,,18 December 2020,Australia
"Python Machine Learning - Second Edition: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow  ",[],38.(AU Dollars),,,20 September 2017,Australia
Python Machine Learning  ,[],61.(AU Dollars),,,11 April 2019,Australia
Machine Learning with Python for Beginners: Learn Machine Learning with Practical Projects  ,[],11.(AU Dollars),,,7 October 2023,Australia
Machine Learning for Risk Calculations: A Practitioner's View  ,[],116.(AU Dollars),,,3 January 2022,Australia
Hands-On Gradient Boosting with XGBoost and scikit-learn: Perform accessible machine learning and extreme gradient boosting with Python  ,[],55.(AU Dollars),,,16 October 2020,Australia
Machine Learning: 3 books in 1: - Hacking Tools for Computer + Hacking With Kali Linux + Python Programming- The ultimate beginners guide to improve your knowledge of programming and data science  ,[],0.(AU Dollars),,,14 February 2020,Australia
Machine Learning by Tutorials (Second Edition): Beginning Machine Learning for Apple and iOS  ,[],,,,28 June 2021,Australia
Class Imabalance in Machine Learning  ,[],0.(AU Dollars),,,8 October 2023,Australia
MACHINE LEARNING: 2 Manuscripts in 1 Book: Machine Learning For Beginners & Machine Learning With Python  ,[],0.(AU Dollars),,,3 April 2019,Australia
"Machine Learning: The Absolute Complete Beginner’s Guide to Learn and Understand Machine Learning From Beginners, Intermediate, Advanced, To Expert Concepts  ",[],0.(AU Dollars),,,3 May 2019,Australia
"Machine Learning for Babies: AI for the Next Generation, Future Leaders Start Here. (CurioBook: Ignite Curiosity and Imagination. STEAM Education for the New AI Era!)  ",[],0.(AU Dollars),,,28 August 2023,Australia
Machine Learning for Data Streams: with Practical Examples in MOA (Adaptive Computation and Machine Learning series)  ,[],81.(AU Dollars),,,16 March 2018,Australia
"The Elements of Statistical Learning: Data Mining, Inference, andPrediction 2e: Data Mining, Inference, and Prediction, Second Edition  ",[],84.(AU Dollars),,,21 April 2017,Australia
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control  ",[],84.(AU Dollars),,,18 April 2019,Australia
Machine Learning and Big Data with kdb+/q  ,[],122.(AU Dollars),,,21 November 2019,Australia
Machine Learning and AI Beyond the Basics  ,[],58.(AU Dollars),,,16 April 2024,Australia
Before Machine Learning Volume 1 - Linear Algebra for A.I: The fundamental mathematics for Data Science and Artificial Inteligence.  ,[],11.(AU Dollars),,,28 March 2023,Australia
Advances in Financial Machine Learning  ,[],59.(AU Dollars),,,7 February 2018,Australia
The Machine Learning Solutions Architect Handbook: Create machine learning platforms to run solutions in an enterprise setting  ,[],78.(AU Dollars),,,21 January 2022,Australia
"Automated Machine Learning: Methods, Systems, Challenges (The Springer Series on Challenges in Machine Learning)  ",[],0.(AU Dollars),,,17 May 2019,Australia
Introduction to Machine Learning  ,[],75.(AU Dollars),,,20 December 2021,Australia
Machine Learning With Python For Beginners: A Step-By-Step Guide with Hands-On Projects (Learn Coding Fast with Hands-On Project Book 7)  ,[],0.(AU Dollars),,,1 August 2021,Australia
"Python Machine Learning By Example: Build intelligent systems using Python, TensorFlow 2, PyTorch, and scikit-learn, 3rd Edition  ",[],33.(AU Dollars),,,30 October 2020,Australia
Fundamentals of Deep Learning: Designing Next-Generation Machine Intelligence Algorithms  ,[],89.(AU Dollars),,,2 May 2022,Australia
"Machine Learning with R: Expert techniques for predictive modeling, 3rd Edition  ",[],74.(AU Dollars),,,15 April 2019,Australia
"Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning  ",[],42.(AU Dollars),,,23 April 2021,Australia
Hands-On Automated Machine Learning: A beginner's guide to building automated machine learning systems using AutoML and Python  ,[],74.(AU Dollars),,,26 April 2018,Australia
Machine Learning Engineering  ,[],49.(AU Dollars),,,7 January 2022,Australia
"Deep Learning with TensorFlow and Keras: Build and deploy supervised, unsupervised, deep, and reinforcement learning models, 3rd Edition  ",[],87.(AU Dollars),,,6 October 2022,Australia
Practical MLOps: Operationalizing Machine Learning Models  ,[],92.(AU Dollars),,,21 October 2021,Australia
"Machine Learning for Algorithmic Trading: Predictive models to extract signals from market and alternative data for systematic trading strategies with Python, 2nd Edition  ",[],59.(AU Dollars),,,31 July 2020,Australia
Python Data Science Handbook: Essential Tools for Working with Data  ,[],82.(AU Dollars),,,23 December 2022,Australia
Cambridge Machine Learning : A First Course for Engineers and Scientists Book - Hardback - 31 March 2022  ,[],68.(AU Dollars),,,31 March 2022,Australia
Machine Learning for Factor Investing: R Version (Chapman and Hall/CRC Financial Mathematics Series)  ,[],118.(AU Dollars),,,31 August 2020,Australia
Machine Learning with Python: The Definitive Guide to Mastering Machine Learning in Python and a Problem-Guide Solver to Creating Real-World Intelligent Systems  ,[],0.(AU Dollars),,,26 October 2022,Australia
Machine Learning Interview Questions and Answers (Become a ML Engineer Book 1)  ,[],3.(AU Dollars),,,16 May 2022,Australia
"Natural Language Processing with Transformers, Revised Edition  ",[],51.(AU Dollars),,,17 June 2022,Australia
